branch	jdk	boot_version	ddd4j_version	revision	maven_major	model_version	pom_namespace	aggregator_container	aggregator_item
2.3.x	8	2.3.12.RELEASE	1.0.x.20260630-SNAPSHOT	2.3.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
2.4.x	8	2.4.13	1.0.x.20260630-SNAPSHOT	2.4.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
2.5.x	8	2.5.15	1.0.x.20260630-SNAPSHOT	2.5.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
2.6.x	8	2.6.15	1.0.x.20260630-SNAPSHOT	2.6.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
2.7.x	8	2.7.18	1.0.x.20260630-SNAPSHOT	2.7.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
3.0.x	17	3.0.13	2.0.x.20260630-SNAPSHOT	3.0.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
3.1.x	17	3.1.12	2.0.x.20260630-SNAPSHOT	3.1.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
3.2.x	17	3.2.12	2.0.x.20260630-SNAPSHOT	3.2.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
3.3.x	17	3.3.13	2.0.x.20260630-SNAPSHOT	3.3.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
3.4.x	17	3.4.13	2.0.x.20260630-SNAPSHOT	3.4.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
3.5.x	17	3.5.16	2.0.x.20260630-SNAPSHOT	3.5.x.20260630-SNAPSHOT	3	4.0.0	http://maven.apache.org/POM/4.0.0	modules	module
4.0.x	21	4.0.7	3.0.x.20260630-SNAPSHOT	4.0.x.20260630-SNAPSHOT	4	4.1.0	http://maven.apache.org/POM/4.1.0	subprojects	subproject
4.1.x	21	4.1.0	3.0.x.20260630-SNAPSHOT	4.1.x.20260630-SNAPSHOT	4	4.1.0	http://maven.apache.org/POM/4.1.0	subprojects	subproject
