branch	github_sha	codeup_sha	java	spring_boot	ddd4j	logical_state	report_ref
2.3.x	96aac92ee8f5c67c5510f5ad6962264886bb5be8	bc130cd10361efac73e058976d21f20a1692e7f2	8	2.3.12.RELEASE	1.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
2.4.x	ccf2d92b8d15a6280164dc1db06fe0f63e6a42d3	fd043cb4532ef0f181d046692e999b0a84821828	8	2.4.13	1.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
2.5.x	ff2f932c59aea76285ec8059cad83c2f0346c51c	a838d5c6b6bc3557c7c8cfc4a38ed27a66fd3123	8	2.5.15	1.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
2.6.x	dd02c9722135496aa9cf5d534583be2d8810d147	5ceae4487be9e0f664c7ec3af47df96b3a9749fe	8	2.6.15	1.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
2.7.x	ec28a3dcad3bbf3c4b606b39f76c8da027977cfc	0efc5ffdd7e6eef879ba778a5502d2d19ee07fd9	8	2.7.18	1.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
3.0.x	17bafd215f16e22fc0e53219bf5261c8002fd41f	eda53010509c7f37b11155289bd38fe65391dc47	17	3.0.13	2.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
3.1.x	fda3e8bc8c7a8c1bed512d51e9b7abcecf98236a	7ba17973e507688cf7a56cc53c08588f9e0fbbaf	17	3.1.12	2.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
3.2.x	84a57b52547179300be0d0685b14672a8c7b726e	a26089a4620c1834e2ecd8ceb30cf12f9855773b	17	3.2.12	2.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
3.3.x	dd12d9b4b4f22824fead294f6fed7c561197a310	dccea9dcbc5521c5acedfabace5a736f96224fa8	17	3.3.13	2.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
3.4.x	6940899d645e46330d9843286b629ca8d7b59c9e	3ac7e4a8144a989d69dece26cab34d5e01601f24	17	3.4.13	2.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
3.5.x	79418e7d3ee5e19417778f2698e00b0fcdf7a209	032bc72d403eae1c55caf65d818e032a141dd196	17	3.5.16	2.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
4.0.x	122a76650f86825206b1f58621e8d2bf449db513	2d47f31b69309e6e7ef2af5c7f62d0449c17628f	21	4.0.8	3.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
4.1.x	39f84ef7c45fbe659aaba206f3abf52ee6dcdac7	d8c120b0aaadb525aa8c4358ee31bbd4ea7181c1	21	4.1.0	3.0.x.20260630-SNAPSHOT	BLOCKED	docs/superpowers/reports/ddd4j-boot-cross-jdk-consistency-final.md
